elapsed_s,latency_ms,fase
47.480,4.147,1
47.480,4.243,1
47.485,3.308,1
47.485,3.568,1
47.489,3.929,1
47.489,4.130,1
47.494,3.326,1
47.494,3.414,1
47.512,3.083,1
47.512,3.362,1
47.595,3.745,1
47.595,3.930,1
47.604,4.515,1
47.605,4.785,1
47.623,3.870,1
47.624,4.135,1
47.625,2.847,1
47.625,3.134,1
47.645,3.243,1
47.645,3.471,1
47.648,2.921,1
47.648,2.977,1
47.651,3.143,1
47.651,3.216,1
47.699,4.637,1
47.700,4.848,1
47.701,3.596,1
47.701,3.728,1
47.754,3.635,1
47.754,3.734,1
47.765,3.308,1
47.765,3.574,1
47.767,2.791,1
47.767,2.951,1
47.770,2.724,1
47.771,2.852,1
47.774,2.716,1
47.774,2.895,1
47.776,2.342,1
47.776,2.450,1
47.778,2.157,1
47.778,2.344,1
47.783,4.695,1
47.784,5.546,1
47.785,2.852,1
47.786,3.000,1
47.788,2.330,1
47.788,2.391,1
47.807,4.676,1
47.807,4.890,1
47.807,2.808,1
47.807,2.835,1
47.810,3.645,1
47.810,3.792,1
47.837,3.845,1
47.837,4.092,1
47.839,2.416,1
47.839,2.609,1
47.855,3.344,1
47.855,3.616,1
47.857,3.692,1
47.857,3.830,1
47.868,3.936,1
47.868,4.187,1
47.870,3.043,1
47.870,3.203,1
47.872,2.119,1
47.872,2.382,1
47.892,4.034,1
47.892,4.102,1
47.893,2.865,1
47.893,3.038,1
47.934,3.986,1
47.934,4.221,1
47.955,2.812,1
47.955,3.057,1
47.959,2.990,1
47.959,3.084,1
47.961,3.076,1
47.962,3.238,1
47.965,3.342,1
47.965,3.655,1
47.970,3.492,1
47.970,3.870,1
47.973,3.611,1
47.973,3.797,1
47.975,2.521,1
47.975,2.874,1
47.977,2.306,1
47.977,2.448,1
48.025,3.660,1
48.025,3.728,1
48.037,3.213,1
48.037,3.293,1
48.085,5.446,1
48.085,5.511,1
48.141,3.470,1
48.141,3.673,1
48.149,3.550,1
48.149,3.629,1
48.196,4.512,1
48.196,4.794,1
48.196,2.579,1
48.196,2.740,1
48.200,3.385,1
48.200,3.576,1
48.241,4.463,1
48.241,4.663,1
48.322,6.286,1
48.322,6.564,1
48.323,5.378,1
48.323,5.549,1
48.324,3.042,1
48.324,3.125,1
48.381,4.268,1
48.382,5.290,1
48.383,3.182,1
48.383,3.252,1
48.403,3.324,1
48.403,3.583,1
48.406,2.629,1
48.406,2.812,1
48.431,3.159,1
48.432,3.318,1
48.444,2.892,1
48.444,3.158,1
48.446,2.580,1
48.446,2.740,1
48.449,3.464,1
48.449,3.562,1
48.453,3.742,1
48.454,3.937,1
48.456,2.680,1
48.456,2.889,1
48.460,2.677,1
48.460,2.733,1
48.462,1.988,1
48.462,2.152,1
48.464,2.157,1
48.464,2.216,1
48.591,5.944,1
48.591,6.076,1
48.591,4.168,1
48.591,4.205,1
48.595,2.443,1
48.595,2.524,1
48.598,2.438,1
48.598,2.852,1
48.611,2.684,1
48.611,2.938,1
48.613,2.871,1
48.614,3.083,1
48.615,2.112,1
48.615,2.233,1
48.619,3.366,1
48.619,3.434,1
48.633,3.083,1
48.634,3.299,1
48.642,2.540,1
48.642,2.766,1
48.644,2.618,1
48.644,2.742,1
48.645,1.872,1
48.646,2.012,1
48.697,3.931,1
48.697,4.207,1
48.698,2.843,1
48.699,3.219,1
48.705,3.401,1
48.705,3.497,1
48.708,3.348,1
48.708,3.420,1
48.719,3.262,1
48.719,3.355,1
48.721,2.599,1
48.721,2.652,1
48.723,2.421,1
48.723,2.479,1
48.729,3.377,1
48.729,3.471,1
48.733,3.828,1
48.734,3.909,1
48.736,3.176,1
48.736,3.351,1
48.737,2.136,1
48.737,2.222,1
48.740,2.654,1
48.740,3.094,1
48.765,3.336,1
48.765,3.439,1
48.798,3.696,1
48.799,3.789,1
48.800,3.353,1
48.800,3.615,1
49.020,5.303,1
49.020,5.667,1
49.021,2.754,1
49.021,2.949,1
49.062,4.191,1
49.062,4.278,1
49.161,3.602,1
49.161,3.762,1
49.190,3.135,1
49.190,3.246,1
49.195,4.486,1
49.195,4.564,1
49.259,4.523,1
49.259,4.655,1
49.288,3.294,1
49.288,3.362,1
49.290,3.193,1
49.290,3.266,1
49.306,3.592,1
49.307,3.700,1
49.310,4.265,1
49.311,4.480,1
49.321,4.328,1
49.321,4.415,1
49.332,4.488,1
49.332,4.719,1
49.354,3.015,1
49.355,3.102,1
49.368,13.918,1
49.368,14.006,1
49.368,11.991,1
49.368,12.014,1
49.390,4.030,1
49.390,4.103,1
49.395,3.145,1
49.396,3.335,1
49.471,3.104,1
49.471,3.423,1
49.487,4.200,1
49.488,4.606,1
49.490,4.384,1
49.490,4.440,1
49.503,3.348,1
49.503,3.521,1
49.508,3.252,1
49.509,3.492,1
49.512,2.663,1
49.512,2.869,1
49.517,2.912,1
49.517,3.117,1
49.529,3.040,1
49.529,3.176,1
49.531,2.840,1
49.531,3.035,1
49.572,6.558,1
49.572,3.869,1
49.572,6.923,1
49.573,4.018,1
49.575,2.539,1
49.575,2.595,1
49.587,4.039,1
49.587,4.130,1
49.613,3.459,1
49.613,3.620,1
49.615,2.787,1
49.615,2.922,1
49.617,2.159,1
49.617,2.220,1
49.620,3.037,1
49.620,3.244,1
49.628,3.626,1
49.628,3.844,1
49.642,3.387,1
49.643,3.618,1
49.648,5.258,1
49.648,5.435,1
49.648,3.584,1
49.648,3.608,1
49.651,3.024,1
49.651,3.191,1
49.654,2.708,1
49.655,2.876,1
49.657,2.216,1
49.657,2.365,1
49.701,4.031,1
49.701,4.245,1
49.706,3.602,1
49.706,3.867,1
49.712,5.683,1
49.712,5.965,1
49.766,3.374,1
49.766,3.557,1
49.783,4.308,1
49.783,4.393,1
49.797,3.093,1
49.797,3.171,1
49.799,3.231,1
49.799,3.376,1
49.801,3.533,1
49.802,3.712,1
49.840,3.070,1
49.841,3.223,1
49.844,3.092,1
49.845,3.873,1
49.847,3.287,1
49.847,3.409,1
49.850,2.438,1
49.850,2.615,1
49.859,3.733,1
49.859,3.823,1
49.942,4.530,1
49.942,4.872,1
49.943,3.005,1
49.943,3.234,1
49.945,2.196,1
49.945,2.312,1
49.973,3.518,1
49.973,3.590,1
49.976,2.706,1
49.976,2.764,1
49.979,3.185,1
49.980,3.261,1
49.982,2.995,1
49.982,3.133,1
49.985,2.933,1
49.985,3.129,1
49.988,2.514,1
49.988,2.688,1
49.991,2.197,1
49.991,2.342,1
50.054,3.842,1
50.054,4.003,1
50.057,3.431,1
50.057,3.626,1
50.082,3.236,1
50.082,3.394,1
50.085,3.085,1
50.086,4.174,1
50.093,4.321,1
50.093,4.379,1
50.094,4.059,1
50.095,4.201,1
50.096,2.974,1
50.096,3.138,1
50.098,2.877,1
50.099,3.046,1
50.130,4.957,1
50.131,2.973,1
50.131,5.450,1
50.131,3.187,1
50.145,3.128,1
50.145,3.333,1
50.147,3.074,1
50.147,3.135,1
50.190,3.049,1
50.190,3.182,1
50.208,3.541,1
50.208,4.033,1
50.290,3.310,1
50.290,3.653,1
50.293,3.038,1
50.293,3.393,1
50.299,3.530,1
50.299,3.727,1
50.304,4.375,1
50.304,4.705,1
50.308,4.769,1
50.308,4.941,1
50.322,2.858,1
50.322,3.018,1
50.342,2.914,1
50.342,3.231,1
50.345,3.598,1
50.345,3.785,1
50.368,3.032,1
50.368,3.568,1
50.388,3.034,1
50.389,3.128,1
50.421,4.781,1
50.421,5.129,1
50.424,3.195,1
50.424,3.340,1
50.443,3.418,1
50.443,3.648,1
50.447,4.383,1
50.447,4.455,1
50.449,2.974,1
50.449,3.112,1
50.461,4.792,1
50.461,4.878,1
50.461,3.125,1
50.461,3.198,1
50.466,3.374,1
50.466,3.582,1
50.493,2.867,1
50.493,3.247,1
50.495,3.007,1
50.495,3.213,1
50.538,2.831,1
50.539,3.074,1
50.541,3.050,1
50.541,3.206,1
50.543,2.445,1
50.543,2.639,1
50.555,4.552,1
50.555,4.633,1
50.583,4.663,1
50.583,5.107,1
50.587,5.369,1
50.587,5.475,1
50.590,5.664,1
50.591,6.383,1
50.591,3.134,1
50.592,3.555,1
50.629,3.778,1
50.629,3.840,1
50.634,3.085,1
50.634,3.160,1
50.636,3.278,1
50.636,3.336,1
50.659,3.741,1
50.659,4.079,1
50.663,4.926,1
50.663,4.992,1
50.665,2.729,1
50.665,2.825,1
50.681,4.589,1
50.681,4.668,1
50.684,5.751,1
50.684,5.892,1
50.685,3.912,1
50.685,3.968,1
50.686,2.548,1
50.686,2.698,1
50.692,3.661,1
50.693,3.978,1
50.756,3.651,1
50.756,3.768,1
50.757,2.394,1
50.757,2.673,1
50.784,2.662,1
50.784,2.874,1
50.786,2.343,1
50.786,2.484,1
50.788,2.300,1
50.788,2.451,1
50.801,3.052,1
50.801,3.171,1
50.803,2.311,1
50.803,2.490,1
50.808,2.547,1
50.808,2.759,1
50.815,3.544,1
50.816,3.912,1
50.817,3.442,1
50.817,3.488,1
50.819,2.300,1
50.819,2.353,1
50.837,3.013,1
50.837,3.311,1
50.847,2.866,1
50.847,2.939,1
50.850,4.070,1
50.850,4.209,1
50.893,2.738,1
50.893,3.044,1
50.918,2.605,1
50.918,2.843,1
50.947,3.010,1
50.947,3.093,1
50.956,4.452,1
50.956,4.641,1
50.972,3.388,1
50.972,3.641,1
50.974,2.639,1
50.975,2.913,1
50.984,2.508,1
50.984,2.566,1
50.986,2.451,1
50.986,2.733,1
50.988,3.347,1
50.989,3.444,1
50.992,2.608,1
50.992,2.740,1
51.000,3.240,1
51.000,3.554,1
51.055,3.590,1
51.055,3.669,1
51.059,3.350,1
51.060,3.517,1
51.062,2.076,1
51.062,2.293,1
51.092,3.188,1
51.092,3.254,1
51.094,2.777,1
51.094,2.827,1
51.098,2.550,1
51.098,2.731,1
51.107,3.582,1
51.107,3.679,1
51.212,6.020,1
51.212,6.431,1
51.224,5.051,1
51.224,5.187,1
51.237,3.768,1
51.238,3.973,1
51.254,3.238,1
51.255,3.480,1
51.297,3.056,1
51.297,3.293,1
51.313,3.571,1
51.313,3.641,1
51.372,7.125,1
51.373,7.688,1
51.379,5.639,1
51.379,5.787,1
51.385,6.012,1
51.385,6.160,1
51.409,10.133,1
51.409,10.471,1
51.428,15.107,1
51.428,15.271,1
51.434,14.767,1
51.434,14.925,1
51.439,7.647,1
51.439,7.753,1
51.449,6.688,1
51.450,7.542,1
51.461,9.302,1
51.462,9.669,1
51.475,8.766,1
51.475,8.987,1
51.485,7.814,1
51.486,8.242,1
51.493,7.903,1
51.494,8.094,1
51.502,7.112,1
51.502,7.270,1
51.507,5.249,1
51.507,5.500,1
51.519,6.400,1
51.519,6.786,1
51.532,3.447,1
51.532,3.914,1
51.579,4.037,1
51.580,4.269,1
51.617,3.414,1
51.618,3.499,1
51.621,3.968,1
51.621,4.212,1
51.622,2.453,1
51.622,2.600,1
51.627,3.722,1
51.627,3.807,1
51.628,2.759,1
51.628,2.915,1
51.634,2.954,1
51.634,3.167,1
51.691,6.755,1
51.691,6.957,1
51.696,6.957,1
51.696,7.242,1
51.700,3.429,1
51.701,3.694,1
51.706,3.418,1
51.707,3.624,1
51.710,4.758,1
51.710,4.870,1
51.721,3.963,1
51.721,4.048,1
51.732,2.947,1
51.732,3.372,1
51.814,5.091,1
51.814,5.297,1
51.815,3.855,1
51.815,3.977,1
51.817,3.513,1
51.817,3.622,1
51.860,5.979,1
51.861,6.619,1
51.862,4.049,1
51.862,4.180,1
51.886,3.965,1
51.886,4.020,1
51.901,3.526,1
51.901,3.796,1
51.903,3.785,1
51.903,3.836,1
51.929,4.853,1
51.929,4.940,1
51.931,2.573,1
51.931,2.876,1
51.948,17.206,1
51.948,15.431,1
51.948,13.517,1
51.948,11.825,1
51.949,17.296,1
51.949,15.486,1
51.949,13.572,1
51.949,11.884,1
51.949,6.334,1
51.949,6.345,1
51.966,3.109,1
51.967,3.546,1
51.968,3.259,1
51.968,3.416,1
51.972,2.973,1
51.972,3.303,1
52.003,2.977,1
52.003,3.058,1
52.004,2.430,1
52.004,2.570,1
52.006,2.404,1
52.006,2.663,1
52.011,2.305,1
52.011,2.569,1
52.013,2.393,1
52.014,2.554,1
52.015,2.249,1
52.016,2.408,1
52.017,1.897,1
52.017,2.029,1
52.020,2.583,1
52.020,2.727,1
52.022,2.369,1
52.022,2.670,1
52.025,3.684,1
52.026,3.933,1
52.028,2.615,1
52.028,2.809,1
52.031,3.308,1
52.032,3.528,1
52.038,8.826,1
52.038,8.906,1
52.039,8.066,1
52.039,8.248,1
52.041,8.081,1
52.042,8.458,1
52.043,7.570,1
52.043,7.699,1
52.044,7.042,1
52.045,7.521,1
52.078,3.150,1
52.078,3.430,1
52.110,3.232,1
52.110,3.477,1
52.112,3.159,1
52.112,3.225,1
52.114,3.811,1
52.114,4.021,1
52.135,3.021,1
52.135,3.171,1
52.138,2.708,1
52.138,2.780,1
52.157,2.976,1
52.158,3.229,1
52.231,3.504,1
52.231,3.581,1
52.236,3.244,1
52.236,3.403,1
52.237,2.918,1
52.237,3.173,1
52.238,2.752,1
